trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 1.0, 'a': 0.5}",30,0,-121.89267583206647,"{0: 20, 1: 5, 2: 2, 3: 1, 4: 2}",1
2,False,"{'e': 1.0, 'a': 0.5}",25,0,-210.9189467815798,"{0: 11, 1: 2, 2: 7, 3: 3, 4: 2}",0
3,False,"{'e': 1.0, 'a': 0.5}",25,0,-102.27967375652284,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
4,False,"{'e': 1.0, 'a': 0.5}",20,0,-91.16434787914548,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
5,False,"{'e': 1.0, 'a': 0.5}",30,0,-117.58833211441839,"{0: 16, 1: 7, 2: 4, 3: 3, 4: 0}",0
6,False,"{'e': 1.0, 'a': 0.5}",20,0,-116.96835020801522,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
7,False,"{'e': 1.0, 'a': 0.5}",30,13,-12.178689843378192,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
8,False,"{'e': 1.0, 'a': 0.5}",35,0,-163.74117220698912,"{0: 23, 1: 4, 2: 5, 3: 0, 4: 3}",0
9,False,"{'e': 1.0, 'a': 0.5}",20,0,-169.1015674021153,"{0: 9, 1: 2, 2: 5, 3: 2, 4: 2}",0
10,False,"{'e': 1.0, 'a': 0.5}",20,0,-55.330217531232776,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
11,False,"{'e': 1.0, 'a': 0.5}",20,0,-117.23109921387903,"{0: 10, 1: 4, 2: 3, 3: 2, 4: 1}",0
12,False,"{'e': 1.0, 'a': 0.5}",20,0,-24.44238614622053,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
13,False,"{'e': 1.0, 'a': 0.5}",30,0,-136.8244786123744,"{0: 20, 1: 3, 2: 2, 3: 4, 4: 1}",0
14,False,"{'e': 1.0, 'a': 0.5}",30,16,-68.45519770007652,"{0: 8, 1: 3, 2: 2, 3: 0, 4: 1}",1
15,False,"{'e': 1.0, 'a': 0.5}",20,0,-95.4505829084949,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
16,False,"{'e': 1.0, 'a': 0.5}",25,0,-172.2315773273768,"{0: 13, 1: 3, 2: 5, 3: 2, 4: 2}",0
17,False,"{'e': 1.0, 'a': 0.5}",20,0,-79.43988524892812,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
18,False,"{'e': 1.0, 'a': 0.5}",25,0,-89.6841230493889,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
19,False,"{'e': 1.0, 'a': 0.5}",35,0,-143.0935983299331,"{0: 21, 1: 2, 2: 10, 3: 1, 4: 1}",0
20,False,"{'e': 1.0, 'a': 0.5}",20,7,-31.65818452640216,"{0: 9, 1: 1, 2: 2, 3: 1, 4: 0}",1
1,True,"{'e': 1.0, 'a': 0.5}",20,0,-92.9516677969061,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
2,True,"{'e': 1.0, 'a': 0.5}",20,0,-112.11269423622947,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0
3,True,"{'e': 1.0, 'a': 0.5}",20,0,-93.53435513096414,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
4,True,"{'e': 1.0, 'a': 0.5}",20,0,-72.61311804199967,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
5,True,"{'e': 1.0, 'a': 0.5}",20,6,-61.65470562478581,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 1}",1
6,True,"{'e': 1.0, 'a': 0.5}",20,13,-9.43263846186367,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
7,True,"{'e': 1.0, 'a': 0.5}",25,14,-59.60512480064263,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 1}",1
8,True,"{'e': 1.0, 'a': 0.5}",30,0,-277.12425489314813,"{0: 12, 1: 6, 2: 6, 3: 2, 4: 4}",0
9,True,"{'e': 1.0, 'a': 0.5}",35,0,-314.52881402693305,"{0: 17, 1: 4, 2: 7, 3: 2, 4: 5}",0
10,True,"{'e': 1.0, 'a': 0.5}",25,0,-177.98622850544473,"{0: 13, 1: 1, 2: 7, 3: 2, 4: 2}",0
